Time,Users
0,65
1,65
2,65
3,65
4,65
5,65
6,65
7,65
8,66
9,66
10,66
11,69
12,71
13,71
14,71
15,77
16,81
17,94
18,100
19,102
20,104
21,108
22,113
23,114
24,121
25,145
26,154
27,162
28,165
29,169
30,180
31,224
32,228
33,231
34,231
35,232
36,234
37,238
38,248
39,255
40,269
41,271
42,274
43,278
44,284
45,356
46,548
47,707
48,1012
49,1222
50,1302
51,1332
52,1513
53,1638
54,1698
55,1764
56,1802
57,1843
58,1855
59,1874
60,1891
61,1905
62,1917
63,1935
64,1952
65,1965
66,1979
67,1989
68,1998
69,2006
70,2018
71,2028
72,2041
73,2067
74,2155
75,2367
76,2407
77,2437
78,2485
79,2585
80,2852
81,2937
82,2971
83,2987
84,3004
85,3029
86,3052
87,3067
88,3097
89,3120
90,3152
91,3185
92,3208
93,3231
94,3246
95,3262
96,3275
97,3294
98,3308
99,3320
100,3336
101,3350
102,3366
103,3374
104,3386
105,3402
106,3417
107,3433
108,3454
109,3511
110,3577
111,3612
112,3638
113,3672
114,3706
115,3735
116,3758
117,3774
118,3786
119,3795
